event_id,source_event_name,display_name,series,source_system,event_type,date,year,month,total_players
online-challenge-2025-07-12,MTGO Challenge (2025-07-12),Challenge,Challenge,mtgo,online,2025-07-12,2025,7,49
online-showcase-2025-07-12,MTGO Showcase (2025-07-12),Showcase,Showcase,mtgo,online,2025-07-12,2025,7,262
online-challenge-2025-07-11,MTGO Challenge (2025-07-11),Challenge,Challenge,mtgo,online,2025-07-11,2025,7,63
online-challenge-2025-07-06,MTGO Challenge (2025-07-06),Challenge,Challenge,mtgo,online,2025-07-06,2025,7,66
online-challenge-2025-07-05,MTGO Challenge (2025-07-05),Challenge,Challenge,mtgo,online,2025-07-05,2025,7,36
online-challenge-2025-07-04,MTGO Challenge (2025-07-04),Challenge,Challenge,mtgo,online,2025-07-04,2025,7,51
online-challenge-2025-06-29,MTGO Challenge (2025-06-29),Challenge,Challenge,mtgo,online,2025-06-29,2025,6,77
online-challenge-2025-06-28,MTGO Challenge (2025-06-28),Challenge,Challenge,mtgo,online,2025-06-28,2025,6,51
online-challenge-2025-06-27,MTGO Challenge (2025-06-27),Challenge,Challenge,mtgo,online,2025-06-27,2025,6,60
online-challenge-2025-06-22,MTGO Challenge (2025-06-22),Challenge,Challenge,mtgo,online,2025-06-22,2025,6,72
online-challenge-2025-06-21,MTGO Challenge (2025-06-21),Challenge,Challenge,mtgo,online,2025-06-21,2025,6,50
online-challenge-2025-06-20,MTGO Challenge (2025-06-20),Challenge,Challenge,mtgo,online,2025-06-20,2025,6,57
online-challenge-2025-06-15,MTGO Challenge (2025-06-15),Challenge,Challenge,mtgo,online,2025-06-15,2025,6,63
online-challenge-2025-06-14,MTGO Challenge (2025-06-14),Challenge,Challenge,mtgo,online,2025-06-14,2025,6,42
online-challenge-2025-06-13,MTGO Challenge (2025-06-13),Challenge,Challenge,mtgo,online,2025-06-13,2025,6,54
online-challenge-2025-06-08,MTGO Challenge (2025-06-08),Challenge,Challenge,mtgo,online,2025-06-08,2025,6,71
online-challenge-2025-06-07,MTGO Challenge (2025-06-07),Challenge,Challenge,mtgo,online,2025-06-07,2025,6,45
online-showcase-2025-06-07,MTGO Showcase (2025-06-07),Showcase,Showcase,mtgo,online,2025-06-07,2025,6,230
online-challenge-2025-06-06,MTGO Challenge (2025-06-06),Challenge,Challenge,mtgo,online,2025-06-06,2025,6,67
online-challenge-2025-06-01,MTGO Challenge (2025-06-01),Challenge,Challenge,mtgo,online,2025-06-01,2025,6,77
online-challenge-2025-05-31,MTGO Challenge (2025-05-31),Challenge,Challenge,mtgo,online,2025-05-31,2025,5,59
online-challenge-2025-05-30,MTGO Challenge (2025-05-30),Challenge,Challenge,mtgo,online,2025-05-30,2025,5,57
online-challenge-2025-05-25,MTGO Challenge (2025-05-25),Challenge,Challenge,mtgo,online,2025-05-25,2025,5,71
online-challenge-2025-05-24,MTGO Challenge (2025-05-24),Challenge,Challenge,mtgo,online,2025-05-24,2025,5,46
online-challenge-2025-05-23,MTGO Challenge (2025-05-23),Challenge,Challenge,mtgo,online,2025-05-23,2025,5,44
online-challenge-2025-05-18,MTGO Challenge (2025-05-18),Challenge,Challenge,mtgo,online,2025-05-18,2025,5,72
online-challenge-2025-05-17,MTGO Challenge (2025-05-17),Challenge,Challenge,mtgo,online,2025-05-17,2025,5,47
online-challenge-2025-05-16,MTGO Challenge (2025-05-16),Challenge,Challenge,mtgo,online,2025-05-16,2025,5,40
online-qualifier-2025-05-16,MTGO Qualifier (2025-05-16),Qualifier,Qualifier,mtgo,online,2025-05-16,2025,5,178
online-challenge-2025-05-11,MTGO Challenge (2025-05-11),Challenge,Challenge,mtgo,online,2025-05-11,2025,5,64
online-challenge-2025-05-10,MTGO Challenge (2025-05-10),Challenge,Challenge,mtgo,online,2025-05-10,2025,5,43
online-challenge-2025-05-09,MTGO Challenge (2025-05-09),Challenge,Challenge,mtgo,online,2025-05-09,2025,5,47
online-challenge-2025-05-04,MTGO Challenge (2025-05-04),Challenge,Challenge,mtgo,online,2025-05-04,2025,5,66
online-challenge-2025-05-03,MTGO Challenge (2025-05-03),Challenge,Challenge,mtgo,online,2025-05-03,2025,5,45
online-challenge-2025-05-02,MTGO Challenge (2025-05-02),Challenge,Challenge,mtgo,online,2025-05-02,2025,5,51
online-challenge-2025-04-27,MTGO Challenge (2025-04-27),Challenge,Challenge,mtgo,online,2025-04-27,2025,4,78
online-challenge-2025-04-26,MTGO Challenge (2025-04-26),Challenge,Challenge,mtgo,online,2025-04-26,2025,4,43
online-challenge-2025-04-25,MTGO Challenge (2025-04-25),Challenge,Challenge,mtgo,online,2025-04-25,2025,4,66
online-challenge-2025-04-20,MTGO Challenge (2025-04-20),Challenge,Challenge,mtgo,online,2025-04-20,2025,4,68
online-challenge-2025-04-19,MTGO Challenge (2025-04-19),Challenge,Challenge,mtgo,online,2025-04-19,2025,4,45
online-challenge-2025-04-18,MTGO Challenge (2025-04-18),Challenge,Challenge,mtgo,online,2025-04-18,2025,4,65
online-challenge-2025-04-12,MTGO Challenge (2025-04-12),Challenge,Challenge,mtgo,online,2025-04-12,2025,4,51
online-challenge-2025-04-11,MTGO Challenge (2025-04-11),Challenge,Challenge,mtgo,online,2025-04-11,2025,4,53
online-challenge-2025-04-06,MTGO Challenge (2025-04-06),Challenge,Challenge,mtgo,online,2025-04-06,2025,4,77
online-challenge-2025-04-05,MTGO Challenge (2025-04-05),Challenge,Challenge,mtgo,online,2025-04-05,2025,4,63
online-challenge-2025-04-04,MTGO Challenge (2025-04-04),Challenge,Challenge,mtgo,online,2025-04-04,2025,4,55
online-challenge-2025-03-30,MTGO Challenge (2025-03-30),Challenge,Challenge,mtgo,online,2025-03-30,2025,3,75
online-challenge-2025-03-29,MTGO Challenge (2025-03-29),Challenge,Challenge,mtgo,online,2025-03-29,2025,3,47
online-challenge-2025-03-28,MTGO Challenge (2025-03-28),Challenge,Challenge,mtgo,online,2025-03-28,2025,3,55
online-challenge-2025-03-23,MTGO Challenge (2025-03-23),Challenge,Challenge,mtgo,online,2025-03-23,2025,3,57
online-challenge-2025-03-22,MTGO Challenge (2025-03-22),Challenge,Challenge,mtgo,online,2025-03-22,2025,3,43
online-challenge-2025-03-21,MTGO Challenge (2025-03-21),Challenge,Challenge,mtgo,online,2025-03-21,2025,3,51
online-challenge-2025-03-16,MTGO Challenge (2025-03-16),Challenge,Challenge,mtgo,online,2025-03-16,2025,3,61
online-challenge-2025-03-15,MTGO Challenge (2025-03-15),Challenge,Challenge,mtgo,online,2025-03-15,2025,3,54
online-challenge-2025-03-14,MTGO Challenge (2025-03-14),Challenge,Challenge,mtgo,online,2025-03-14,2025,3,42
online-challenge-2025-03-09,MTGO Challenge (2025-03-09),Challenge,Challenge,mtgo,online,2025-03-09,2025,3,57
online-challenge-2025-03-08,MTGO Challenge (2025-03-08),Challenge,Challenge,mtgo,online,2025-03-08,2025,3,58
online-challenge-2025-03-07,MTGO Challenge (2025-03-07),Challenge,Challenge,mtgo,online,2025-03-07,2025,3,54
online-challenge-2025-03-02,MTGO Challenge (2025-03-02),Challenge,Challenge,mtgo,online,2025-03-02,2025,3,65
online-challenge-2025-03-01,MTGO Challenge (2025-03-01),Challenge,Challenge,mtgo,online,2025-03-01,2025,3,52
online-challenge-2025-02-28,MTGO Challenge (2025-02-28),Challenge,Challenge,mtgo,online,2025-02-28,2025,2,56
online-challenge-2025-02-23,MTGO Challenge (2025-02-23),Challenge,Challenge,mtgo,online,2025-02-23,2025,2,60
online-challenge-2025-02-22,MTGO Challenge (2025-02-22),Challenge,Challenge,mtgo,online,2025-02-22,2025,2,38
online-qualifier-2025-02-22,MTGO Qualifier (2025-02-22),Qualifier,Qualifier,mtgo,online,2025-02-22,2025,2,157
online-challenge-2025-02-21,MTGO Challenge (2025-02-21),Challenge,Challenge,mtgo,online,2025-02-21,2025,2,53
online-challenge-2025-02-16,MTGO Challenge (2025-02-16),Challenge,Challenge,mtgo,online,2025-02-16,2025,2,59
online-challenge-2025-02-15,MTGO Challenge (2025-02-15),Challenge,Challenge,mtgo,online,2025-02-15,2025,2,45
online-challenge-2025-02-14,MTGO Challenge (2025-02-14),Challenge,Challenge,mtgo,online,2025-02-14,2025,2,43
online-challenge-2025-02-09,MTGO Challenge (2025-02-09),Challenge,Challenge,mtgo,online,2025-02-09,2025,2,47
online-challenge-2025-02-08,MTGO Challenge (2025-02-08),Challenge,Challenge,mtgo,online,2025-02-08,2025,2,44
online-challenge-2025-02-07,MTGO Challenge (2025-02-07),Challenge,Challenge,mtgo,online,2025-02-07,2025,2,56
online-challenge-2025-02-02,MTGO Challenge (2025-02-02),Challenge,Challenge,mtgo,online,2025-02-02,2025,2,61
online-challenge-2025-02-01,MTGO Challenge (2025-02-01),Challenge,Challenge,mtgo,online,2025-02-01,2025,2,39
online-challenge-2025-01-31,MTGO Challenge (2025-01-31),Challenge,Challenge,mtgo,online,2025-01-31,2025,1,49
online-challenge-2025-01-26,MTGO Challenge (2025-01-26),Challenge,Challenge,mtgo,online,2025-01-26,2025,1,58
online-challenge-2025-01-25,MTGO Challenge (2025-01-25),Challenge,Challenge,mtgo,online,2025-01-25,2025,1,40
online-challenge-2025-01-24,MTGO Challenge (2025-01-24),Challenge,Challenge,mtgo,online,2025-01-24,2025,1,45
online-challenge-2025-01-19,MTGO Challenge (2025-01-19),Challenge,Challenge,mtgo,online,2025-01-19,2025,1,63
online-challenge-2025-01-18,MTGO Challenge (2025-01-18),Challenge,Challenge,mtgo,online,2025-01-18,2025,1,50
online-challenge-2025-01-17,MTGO Challenge (2025-01-17),Challenge,Challenge,mtgo,online,2025-01-17,2025,1,50
online-challenge-2025-01-12,MTGO Challenge (2025-01-12),Challenge,Challenge,mtgo,online,2025-01-12,2025,1,52
online-challenge-2025-01-10,MTGO Challenge (2025-01-10),Challenge,Challenge,mtgo,online,2025-01-10,2025,1,43
online-challenge-2025-01-05,MTGO Challenge (2025-01-05),Challenge,Challenge,mtgo,online,2025-01-05,2025,1,68
online-challenge-2025-01-04,MTGO Challenge (2025-01-04),Challenge,Challenge,mtgo,online,2025-01-04,2025,1,51
online-challenge-2025-01-03,MTGO Challenge (2025-01-03),Challenge,Challenge,mtgo,online,2025-01-03,2025,1,56
offline-upstate-ny-pauper-open-2025-01-03,Upstate NY Pauper Open,Upstate NY Pauper Open,Upstate NY Pauper Open,upstate_ny,offline,2025-01-03,2025,1,72
